name,kind,volume,unit,kcal,sugars(g),fatty acids(g),caffeine(mg)
케냐 니에리,coffee,320,mL,4,0,0,204
에티오피아 게라,coffee,320,mL,4,0,0,204
브라질 만티게이라 BSCA,coffee,320,mL,4,0,0,204
과테말라 누에보 오리엔테,coffee,320,mL,4,0,0,204
더치 블랙 0 에티오피아 예가체프,coffee,320,mL,10.9,0.1,0.3,101.5
더치 블랙 0 케냐AA,coffee,320,mL,10.9,0.1,0.3,101.5
더치 오션,coffee,320,mL,226.9,22.5,5.2,87
더치 썬셋,coffee,320,mL,224.5,22.5,5.2,87
에스프레소 블랙 N2,coffee,280,mL,10,0,0.2,204
돌체 카푸치노 N2,coffee,280,mL,401,22,21,204
에스프레소,coffee,30,mL,5,0,0.1,102
에스프레소 마끼아또,coffee,35,mL,8.5,0.3,0.2,102
에스프레소 콘파냐,coffee,40,mL,19.7,1.4,3.3,102
아메리카노,coffee,320,mL,10,0,0.2,136
카페라떼,coffee,250,mL,150,10,5.2,204
바닐라 카페라떼,coffee,270,mL,227,25.6,5.2,204
카라멜 카페라떼,coffee,270,mL,215,26.1,5.2,204
헤이즐넛 카페라떼,coffee,325,mL,420,33,19,204
카푸치노,coffee,250,mL,150,10,5.2,204
카페모카,coffee,310,mL,317.2,38.2,13.4,204
화이트모카,coffee,310,mL,317.7,38.2,13.1,204
민트모카,coffee,325,mL,420,32.9,19.3,204
카라멜마끼아또,coffee,275,mL,232,29.2,5.3,204
아이스 아메리카노,coffee,480,mL,10,0,0.2,136
아이스 카페라떼,coffee,480,mL,143,9.5,5,204
아이스 바닐라 카페라떼,coffee,480,mL,197,25.4,4.5,204
아이스 헤이즐넛 카페라떼,coffee,480,mL,206,24.1,4.5,204
아이스 카푸치노,coffee,440,mL,115,7.5,4,204
아이스 카페모카,coffee,500,mL,282.2,35.7,12.1,204
아이스 화이트모카,coffee,500,mL,282.7,35.7,11.9,204
아이스 민트모카,coffee,515,mL,385,30.4,18,204
아이스 카라멜마끼아또,coffee,485,mL,211,27.7,4.5,204
아포가토,coffee,130,mL,282.4,33.3,2.7,102
흑임자 크림 더블샷 ICE,coffee,415,mL,316,0,0,174
커스터드 플랫라떼,coffee,385,mL,207,0,0,112
커스터드 크림샷 ICE,coffee,415,mL,426,0,0,87
헤이 더블샷 ICE,coffee,415,mL,23,0,0,174
헤이즐넛 라떼 ICE,coffee,415,mL,252.6,0,0,112
헤이즐넛 라떼,coffee,385,mL,252.6,0,0,112
아몬드 크림 콜드브루 ICE,coffee,595,mL,208,0,0,195
콜드브루 ICE,coffee,415,mL,11,0,0,195
콜드브루 온더락 ICE,coffee,415,mL,11,0,0,195
아몬드 비엔나 커피,coffee,385,mL,180,0,0,87
돌체 라떼 ICE,coffee,415,mL,203,0,0,112
돌체 라떼,coffee,385,mL,203,0,0,112
에스프레소,coffee,30,mL,5,0,0,87
카페 아메리카노,coffee,385,mL,5,0,0,87
카페 아메리카노 ICE,coffee,415,mL,5,0,0,87
카페라떼,coffee,385,mL,145,0,0,112
카페라떼 ICE,coffee,415,mL,128,0,0,112
바닐라 라떼,coffee,385,mL,251.4,0,0,112
바닐라 라떼 ICE,coffee,415,mL,251.4,0,0,112
카푸치노,coffee,385,mL,145,0,0,112
카푸치노 ICE,coffee,415,mL,110,0,0,112
카라멜 마끼아또,coffee,385,mL,273,0,0,112
카라멜 마끼아또 ICE,coffee,415,mL,273,0,0,112
나이트로 바닐라 크림,coffee,355,mL,75,10,2,245
나이트로 쇼콜라 클라우드,coffee,355,mL,55,7,2,245
나이트로 콜드 브루,coffee,355,mL,5,0,0,245
돌체 콜드 브루,coffee,355,mL,265,29,9,150
바닐라 크림 콜드 브루,coffee,355,mL,125,11,6,150
콜드 브루,coffee,355,mL,5,0,0,150
콜드 브루 몰트,coffee,355,mL,510,40,20,150
콜드 브루 플로트,coffee,355,mL,230,18,10,150
콜드 폼 콜드 브루,coffee,355,mL,105,20,0,150
아이스 커피,coffee,355,mL,5,0,0,140
오늘의 커피,coffee,355,mL,5,0,0,260
단호박 라떼 위드 샷,coffee,355,mL,355,40,11,75
블랙 글레이즈드 라떼,coffee,355,mL,410,36,16,75
아이스 단호박 라떼 위드 샷,coffee,355,mL,265,33,8,75
아이스 블랙 글레이즈드 라떼,coffee,355,mL,320,29,13,75
에스프레소 콘 파나,coffee,22,mL,30,1,1.5,75
에스프레소 마키아또,coffee,22,mL,10,0,0,75
아이스 카페 아메리카노,coffee,355,mL,10,0,0,150
카페 아메리카노,coffee,355,mL,10,0,0,150
아이스 카라멜 마키아또,coffee,355,mL,190,22,4.5,75
카라멜 마키아또,coffee,355,mL,200,22,4.5,75
아이스 카푸치노,coffee,355,mL,115,9,3.5,75
카푸치노,coffee,355,mL,110,8,3,75
라벤더 카페 브레베,coffee,355,mL,406,30,22,75
럼 샷 코르타도,coffee,237,mL,70,8,1.8,75
돌체 라떼,coffee,355,mL,255,39,2.5,150
