neck,weight,heap,waist
33.8,51.1,86,62.9
33,45.4,87.9,63
35.3,58.9,95.2,64.2
33.1,47.3,88.6,64.4
33.1,47.7,88.5,65
33,44.4,87.5,65.3
35.2,58,88.9,65.6
34.7,56.4,91.7,65.8
33.2,47.3,89.7,66
33.2,47.5,87.6,66.1
33.9,51.1,85.8,66.1
34,51,89.3,66.3
33.7,49.5,90.6,66.6
34.2,53.8,88.3,66.6
34.3,52.9,91.4,66.7
34.3,52.9,91.4,66.7
34.3,52.9,91.4,66.7
34.3,52.9,91.4,66.7
33.4,48,85.9,66.9
33.6,48.6,87.4,66.9
34.5,53.5,89.9,67
34.1,52.1,85.7,67.1
32.5,45.4,90.2,67.2
32.5,45.4,90.2,67.2
32.5,45.4,90.2,67.2
33.1,47,89.8,67.2
35.8,61.1,91.8,67.3
34.2,51.4,94.7,67.5
34.7,55.6,89.1,67.5
34.3,52.7,89.6,67.6
34.9,56.1,93.5,67.6
33.8,50.6,91.4,67.7
34.7,55.1,91.9,67.9
34.6,54.3,88.9,68
33.6,49.9,90,68.1
33.6,49.9,90,68.1
33.6,49.9,90,68.1
33.6,49.9,90,68.1
34.5,54,92.3,68.2
34.5,54,92.3,68.2
34.5,54,92.3,68.2
34.5,54,92.3,68.2
34.7,54.9,92.3,68.2
34.4,53.3,90.9,68.3
32.9,45.5,88.2,68.4
33.8,50.7,92.9,68.6
34.9,57,89.9,68.6
32.5,46.5,90.2,68.7
33.9,51.9,88.5,68.8
33.7,50.8,91.2,69
35.6,60.8,99.2,69
35,65,92.1,69
33.9,51.1,89.8,69.1
34.5,52.7,95.1,69.2
34.3,51.6,95,69.3
36,63.3,94.7,69.3
34,50.9,93.6,69.4
34.2,51.6,89.9,69.4
35.3,59.3,90.4,69.4
34.5,53.4,90.8,69.5
34.1,51.1,89.3,69.6
34.9,56.1,91.2,69.7
35.5,59.8,91.6,69.7
33.5,48.5,91.1,69.9
33.5,48.5,91.1,69.9
33.5,48.5,91.1,69.9
33.5,48.5,91.1,69.9
33.5,48.5,91.1,69.9
33.5,48.5,91.1,69.9
35.5,58.3,93.7,69.9
35.4,65,89.2,70
34.3,51.4,90.5,70.1
38,65,93,70.1
34.8,55.9,91.7,70.2
35.8,61.8,91.8,70.2
33.2,48.3,90.3,70.3
34.3,52.3,90.1,70.3
34.9,57,92.8,70.3
36,59.1,92.6,70.3
34.3,51.5,90.6,70.4
35.2,58.4,88.6,70.4
33.2,46.9,88.9,70.5
34.5,53.3,97.2,70.5
34.6,65,91.4,70.6
37.3,65,92,70.6
33.8,50.5,91.7,70.7
33.8,50.5,91.7,70.7
33.8,50.5,91.7,70.7
33.8,50.5,91.7,70.7
33.8,50.5,91.7,70.7
34.2,51.4,91,70.7
37.3,65,96.5,70.7
36.9,70.3,95.8,70.7
34.1,51,93.9,70.8
34.3,52.8,90.2,70.8
34.8,55.3,93.1,70.8
34.9,56.6,95.1,70.8
34.9,56.6,95.1,70.8
34.9,56.6,95.1,70.8
34.9,56.6,95.1,70.8
36,63.3,96.2,70.8
34.3,52.3,95.9,70.9
34.3,52.6,94.2,70.9
34.5,54.3,91.2,70.9
35.6,61.7,88.5,71
36.6,65,92.4,71
33.3,48.5,92.1,71.1
34.6,52.9,94.7,71.3
35.2,58.8,91.1,71.3
36.6,65,89.6,71.4
33.8,50.5,92.2,71.5
34.1,51,87.9,71.5
34.1,51,87.9,71.5
34.1,51,87.9,71.5
34.1,51,87.9,71.5
34.1,51,87.9,71.5
34.1,51,87.9,71.5
34.7,55.4,91.3,71.5
35.4,59.2,97.8,71.5
36.1,65,93.1,71.5
40,65,94.8,71.5
33.4,52.1,95.1,71.6
34.6,52.8,91.9,71.6
34.4,52.9,92.7,71.6
34.4,52.9,92.7,71.6
34.4,52.9,92.7,71.6
34.4,52.9,92.7,71.6
34.4,52.9,92.7,71.6
34.4,52.9,92.7,71.6
35.1,57.4,95.9,71.7
35.6,60.3,93.1,71.7
35.4,65,87.8,71.7
34.6,54.5,97.6,71.8
35.8,61.4,94.1,71.8
37.8,65,98.5,71.8
34.3,52.4,88,71.9
34.9,56.1,89.9,71.9
35.2,55.9,97.5,72
35.5,58.8,91.8,72
33.5,49.2,92.1,72.1
36,63.4,92,72.1
33.9,50.3,92.6,72.2
34.7,54.3,89.4,72.3
35.2,56.9,90.5,72.3
34.4,52.7,94.3,72.4
33.9,50.5,91.9,72.5
35.9,62.8,94.1,72.5
34.9,56.2,90.1,72.6
35.3,58.9,94.3,72.6
35.6,60.8,96.4,72.6
35.9,62.3,98.4,72.7
39.7,65,93.7,72.7
36.6,66.9,93.2,72.7
38.1,65,94.4,72.8
33.4,47.1,90.1,72.9
33.9,50.2,90.5,72.9
34.4,52.6,93,72.9
34.4,53.1,91.6,72.9
35.6,54.7,94.3,72.9
34.5,54.7,91.8,72.9
33.4,49.3,92.3,73
35.1,57.2,92,73.1
35.1,57.3,95.1,73.1
38.7,65,96.6,73.1
35.4,59.5,94.1,73.3
36.1,63.6,95.2,73.3
35.9,59.7,96.7,73.4
36.1,64,93.3,73.4
38.3,65,98.6,73.4
36.6,67.2,98.1,73.4
36.6,67.9,96.8,73.4
35.5,58.1,96.9,73.5
35.6,60.9,93.4,73.5
37.4,65,96.7,73.5
